"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2142065,"October 15, 2021",Kentucky,Louisville,"Norfolk Dr and Fegenbush Ln",0,1,N/A
2142206,"October 15, 2021",Virginia,Henrico,"1700 block of Fawcett Ln",0,1,N/A
2139975,"October 12, 2021",Florida,Gainesville,"1602 NE Waldo Rd",0,1,N/A
2139583,"October 11, 2021",Indiana,Lafayette,"3000 block of Underwood St",0,1,N/A
2138119,"October 10, 2021",Utah,"Pleasant Grove","900 W 600 S",0,2,N/A
2138131,"October 10, 2021",Maryland,"Temple Hills","3101 Branch Ave",0,1,N/A
2137904,"October 10, 2021",Ohio,Toledo,"1550 Brooke Park",0,1,N/A
2136181,"October 8, 2021",Maryland,"Capitol Heights","5254 Marlboro Pike",0,1,N/A
2136170,"October 8, 2021",Ohio,Cleveland,"10000 block of Hulda Ave",0,1,N/A
2134657,"October 7, 2021",Illinois,Chicago,"900 block of N Orleans St",0,4,N/A
2135796,"October 7, 2021",Texas,Winnie,"234 Buccaneer Dr",0,1,N/A
2136432,"October 5, 2021",Ohio,Warren,"900 block of Landsdowne Ave SW",0,1,N/A
2133263,"October 2, 2021",Virginia,Hopewell,"2800 block of Grant St",0,1,N/A
2131655,"October 2, 2021","New Jersey",Trenton,"Meade St",0,1,N/A
2129993,"October 1, 2021","New York",Brooklyn,"160 Wyckoff St",0,1,N/A
2126074,"September 26, 2021",Illinois,Chicago,"5700 block of S Bishop St",0,1,N/A
2125041,"September 23, 2021",Oregon,Salem,"Stockton Ave S",0,1,N/A
2119865,"September 18, 2021",Georgia,"Atlanta (East Point)","4031 7 Oaks Ln SW",0,1,N/A
2117779,"September 16, 2021",Missouri,"Kansas City","Lexington Ct and E 46th St",0,1,N/A
2111269,"September 7, 2021",Maryland,Baltimore,"3700 block of Bell Ave",0,1,N/A
2108650,"September 4, 2021",Iowa,"Des Moines","5600 block of SW 5th Pl",0,1,N/A
2106801,"September 2, 2021",Kentucky,Hopkinsville,"High St",0,1,N/A
2093532,"August 17, 2021",Louisiana,Shreveport,"1600 block of Malcolm St",0,1,N/A
2089848,"August 12, 2021",Florida,"Opa Locka","13448 Aswan Rd",0,1,N/A
2087851,"August 10, 2021",Ohio,Columbus,"2505 Brentnell Blvd",0,1,N/A
2086470,"August 9, 2021",Illinois,Rantoul,"1300 block of Harmon Dr",0,1,N/A
2086386,"August 9, 2021",Texas,Lubbock,"2800 block of 24th St",0,1,N/A
2081876,"August 2, 2021",Texas,"San Antonio","2330 Austin Hwy",0,1,N/A
2080597,"August 2, 2021",Oklahoma,"Oklahoma City","SW 13th St and S Agnew Ave",0,1,N/A
2077250,"July 27, 2021",Alabama,Troy,"12687 US-231",0,1,N/A
2074868,"July 25, 2021",Texas,"San Antonio","1200 block of S Olive St",0,1,N/A
2075390,"July 24, 2021","North Carolina",Charlotte,"Flint St",0,1,N/A
2073729,"July 24, 2021","South Carolina",Camden,"175 Precipice Rd",0,1,N/A
2072998,"July 24, 2021",Texas,Dallas,"1900 block of McBroom St",0,1,N/A
2073557,"July 24, 2021",Oregon,Eugene,"796 W 13th Ave",0,1,N/A
2072775,"July 23, 2021",Georgia,Atlanta,"600 block of Travis St",0,1,N/A
2071509,"July 22, 2021","North Carolina",Lexington,"200 block of Bob Mountain Rd",0,1,N/A
2070477,"July 21, 2021",Utah,Roy,"2500 W and 5200 S",0,1,N/A
2070520,"July 20, 2021",California,"San Bernardino","16th Street and E St",0,1,N/A
2069001,"July 20, 2021",Kentucky,Louisville,"5000 block of Red Fern Rd",0,2,N/A
