Location,Total incidents,Race,Religion,SexualOrientation,Ethnicity,Disability,Year,Gender,Gender Identity
Parking/drop lot/garage,336,182.0,28,75,44,0,2013,3.0,2.0
Rental storage facility,4,1.0,1,2,0,0,2013,0.0,0.0
Residence/home,1865,976.0,240,397,207,37,2013,2.0,5.0
Rest area,2,1.0,0,0,1,0,2013,0.0,0.0
Restaurant,126,63.0,9,30,21,1,2013,0.0,2.0
School/college2,234,111.0,53,45,21,3,2013,1.0,0.0
School—college/university,100,47.0,13,23,13,1,2013,1.0,1.0
School—elementary/secondary,158,92.0,13,21,27,4,2013,1.0,0.0
Service/gas station,55,30.0,6,8,10,0,2013,0.0,1.0
Shelter—mission/homeless,4,2.0,0,2,0,0,2013,0.0,0.0
Shopping mall,9,3.0,2,2,1,1,2013,0.0,0.0
"Specialty store (TV, fur, etc.)",42,22.0,6,5,8,1,2013,0.0,0.0
Tribal lands,4,2.0,0,0,1,0,2013,0.0,1.0
Other/unknown,782,276.0,272,164,48,9,2013,6.0,6.0
Total,5479,2568.0,1014,1017,648,84,2014,33.0,98.0
Abandoned/condemned structure,3,2.0,1,0,0,0,2014,0.0,0.0
Air/bus/train terminal,68,39.0,5,13,8,2,2014,0.0,1.0
Amusement Park,2,2.0,0,0,0,0,2014,0.0,0.0
Arena/stadium/fairgrounds/coliseum,2,1.0,0,1,0,0,2014,0.0,0.0
Auto dealership new/used,1,1.0,0,0,0,0,2014,0.0,0.0
Bank/savings and loan,21,11.0,1,3,2,1,2014,0.0,3.0
Bar/nightclub,90,48.0,5,23,13,0,2014,1.0,0.0
Camp/campground,1,1.0,0,0,0,0,2014,0.0,0.0
Church/synagogue/temple/mosque,195,21.0,158,9,6,1,2014,0.0,0.0
Commercial office building,70,28.0,17,12,12,1,2014,0.0,0.0
Community center,6,1.0,1,3,0,0,2014,0.0,1.0
Construction site,10,4.0,1,1,4,0,2014,0.0,0.0
Convenience store,73,35.0,5,11,21,0,2014,0.0,1.0
Daycare facility,4,1.0,1,0,2,0,2014,0.0,0.0
Department/discount store,58,36.0,2,8,6,1,2014,2.0,3.0
Dock/Wharf/Freight/Modal Terminal,3,2.0,0,0,1,0,2014,0.0,0.0
Drug store/Doctor's office/hospital,70,41.0,8,5,11,4,2014,1.0,0.0
Farm facility,1,1.0,0,0,0,0,2014,0.0,0.0
Field/woods,36,20.0,6,5,5,0,2014,0.0,0.0
Government/public building,96,57.0,15,12,9,2,2014,0.0,1.0
Grocery/supermarket,52,24.0,9,7,9,1,2014,0.0,2.0
Highway/road/alley/street/sidewalk,974,493.0,96,231,107,11,2014,6.0,26.0
Hotel/motel/etc.,35,19.0,1,7,6,0,2014,1.0,1.0
Industrial site,6,6.0,0,0,0,0,2014,0.0,0.0
Jail/prison/penitentiary/corrections facility,53,29.0,1,13,9,0,2014,0.0,1.0
Lake/waterway/beach,10,4.0,1,3,2,0,2014,0.0,0.0
